,config,opt_name,reason,proved
50,cvc4_tplanes,AndOrXor:1006,values,yes
51,cvc4_tplanes,AndOrXor:1007,poison,yes
52,cvc4_tplanes,AndOrXor:1007,undef,yes
53,cvc4_tplanes,AndOrXor:1007,values,yes
54,cvc4_tplanes,AndOrXor:1012,poison,yes
55,cvc4_tplanes,AndOrXor:1012,undef,yes
56,cvc4_tplanes,AndOrXor:1012,values,no
57,cvc4_tplanes,AndOrXor:1230,poison,yes
58,cvc4_tplanes,AndOrXor:1230,undef,yes
59,cvc4_tplanes,AndOrXor:1230,values,no
60,cvc4_tplanes,AndOrXor:1241,poison,yes
61,cvc4_tplanes,AndOrXor:1241,undef,yes
62,cvc4_tplanes,AndOrXor:1241,values,no
63,cvc4_tplanes,AndOrXor:1247,poison,yes
64,cvc4_tplanes,AndOrXor:1247,undef,yes
65,cvc4_tplanes,AndOrXor:1247,values,no
66,cvc4_tplanes,AndOrXor:1253,poison,yes
67,cvc4_tplanes,AndOrXor:1253,undef,yes
68,cvc4_tplanes,AndOrXor:1253,values,no
69,cvc4_tplanes,AndOrXor:1280,poison,yes
70,cvc4_tplanes,AndOrXor:1280,undef,yes
71,cvc4_tplanes,AndOrXor:1280,values,no
72,cvc4_tplanes,AndOrXor:1288,poison,yes
73,cvc4_tplanes,AndOrXor:1288,undef,yes
74,cvc4_tplanes,AndOrXor:1288,values,no
75,cvc4_tplanes,AndOrXor:1294,poison,yes
76,cvc4_tplanes,AndOrXor:1294,undef,yes
77,cvc4_tplanes,AndOrXor:1294,values,no
78,cvc4_tplanes,AndOrXor:135,poison,yes
79,cvc4_tplanes,AndOrXor:135,undef,yes
80,cvc4_tplanes,AndOrXor:135,values,no
81,cvc4_tplanes,AndOrXor:144,poison,yes
82,cvc4_tplanes,AndOrXor:144,undef,yes
83,cvc4_tplanes,AndOrXor:144,values,no
84,cvc4_tplanes,AndOrXor:151,poison,yes
85,cvc4_tplanes,AndOrXor:151,undef,yes
86,cvc4_tplanes,AndOrXor:151,values,no
87,cvc4_tplanes,AndOrXor:1683-1,poison,yes
88,cvc4_tplanes,AndOrXor:1683-1,undef,yes
89,cvc4_tplanes,AndOrXor:1683-1,values,yes
90,cvc4_tplanes,AndOrXor:1683-2,poison,yes
91,cvc4_tplanes,AndOrXor:1683-2,undef,yes
92,cvc4_tplanes,AndOrXor:1683-2,values,yes
93,cvc4_tplanes,AndOrXor:1704,poison,yes
94,cvc4_tplanes,AndOrXor:1704,undef,yes
95,cvc4_tplanes,AndOrXor:1704,values,yes
96,cvc4_tplanes,AndOrXor:1705,poison,yes
97,cvc4_tplanes,AndOrXor:1705,undef,yes
98,cvc4_tplanes,AndOrXor:1705,values,yes
99,cvc4_tplanes,AndOrXor:1733,poison,yes
100,cvc4_tplanes,AndOrXor:1733,undef,yes
101,cvc4_tplanes,AndOrXor:1733,values,yes
102,cvc4_tplanes,AndOrXor:1740,poison,yes
103,cvc4_tplanes,AndOrXor:1740,undef,yes
104,cvc4_tplanes,AndOrXor:1740,values,yes
105,cvc4_tplanes,AndOrXor:1795,poison,yes
106,cvc4_tplanes,AndOrXor:1795,undef,yes
107,cvc4_tplanes,AndOrXor:1795,values,no
108,cvc4_tplanes,AndOrXor:1818,poison,yes
109,cvc4_tplanes,AndOrXor:1818,undef,yes
110,cvc4_tplanes,AndOrXor:1818,values,yes
111,cvc4_tplanes,AndOrXor:1819,poison,yes
112,cvc4_tplanes,AndOrXor:1819,undef,yes
113,cvc4_tplanes,AndOrXor:1819,values,yes
114,cvc4_tplanes,AndOrXor:1820,poison,yes
115,cvc4_tplanes,AndOrXor:1820,undef,yes
116,cvc4_tplanes,AndOrXor:1820,values,yes
117,cvc4_tplanes,AndOrXor:1827,poison,yes
118,cvc4_tplanes,AndOrXor:1827,undef,yes
119,cvc4_tplanes,AndOrXor:1827,values,yes
120,cvc4_tplanes,AndOrXor:1828,poison,yes
121,cvc4_tplanes,AndOrXor:1828,undef,yes
122,cvc4_tplanes,AndOrXor:1828,values,yes
123,cvc4_tplanes,AndOrXor:1829,poison,yes
124,cvc4_tplanes,AndOrXor:1829,undef,yes
125,cvc4_tplanes,AndOrXor:1829,values,yes
126,cvc4_tplanes,AndOrXor:1831,poison,yes
127,cvc4_tplanes,AndOrXor:1831,undef,yes
128,cvc4_tplanes,AndOrXor:1831,values,yes
129,cvc4_tplanes,AndOrXor:1832,poison,yes
130,cvc4_tplanes,AndOrXor:1832,undef,yes
131,cvc4_tplanes,AndOrXor:1832,values,yes
132,cvc4_tplanes,AndOrXor:1833,poison,yes
133,cvc4_tplanes,AndOrXor:1833,undef,yes
134,cvc4_tplanes,AndOrXor:1833,values,yes
135,cvc4_tplanes,AndOrXor:1844,poison,yes
136,cvc4_tplanes,AndOrXor:1844,undef,yes
137,cvc4_tplanes,AndOrXor:1844,values,yes
138,cvc4_tplanes,AndOrXor:1849,poison,yes
139,cvc4_tplanes,AndOrXor:1849,undef,yes
140,cvc4_tplanes,AndOrXor:1849,values,yes
141,cvc4_tplanes,AndOrXor:1850,poison,yes
142,cvc4_tplanes,AndOrXor:1850,undef,yes
143,cvc4_tplanes,AndOrXor:1850,values,yes
144,cvc4_tplanes,AndOrXor:1864,poison,yes
145,cvc4_tplanes,AndOrXor:1864,undef,yes
146,cvc4_tplanes,AndOrXor:1864,values,no
147,cvc4_tplanes,AndOrXor:1869,poison,yes
148,cvc4_tplanes,AndOrXor:1869,undef,yes
149,cvc4_tplanes,AndOrXor:1869,values,yes
150,cvc4_tplanes,AndOrXor:1870,poison,yes
151,cvc4_tplanes,AndOrXor:1870,undef,yes
152,cvc4_tplanes,AndOrXor:1870,values,yes
153,cvc4_tplanes,AndOrXor:1879,poison,yes
154,cvc4_tplanes,AndOrXor:1879,undef,yes
155,cvc4_tplanes,AndOrXor:1879,values,yes
156,cvc4_tplanes,AndOrXor:1880,poison,yes
157,cvc4_tplanes,AndOrXor:1880,undef,yes
158,cvc4_tplanes,AndOrXor:1880,values,yes
159,cvc4_tplanes,AndOrXor:1884,poison,yes
160,cvc4_tplanes,AndOrXor:1884,undef,yes
161,cvc4_tplanes,AndOrXor:1884,values,yes
162,cvc4_tplanes,AndOrXor:1885,poison,yes
163,cvc4_tplanes,AndOrXor:1885,undef,yes
164,cvc4_tplanes,AndOrXor:1885,values,yes
165,cvc4_tplanes,AndOrXor:1894,poison,yes
166,cvc4_tplanes,AndOrXor:1894,undef,yes
167,cvc4_tplanes,AndOrXor:1894,values,yes
168,cvc4_tplanes,AndOrXor:1895,poison,yes
169,cvc4_tplanes,AndOrXor:1895,undef,yes
170,cvc4_tplanes,AndOrXor:1895,values,yes
171,cvc4_tplanes,AndOrXor:1899,poison,yes
172,cvc4_tplanes,AndOrXor:1899,undef,yes
173,cvc4_tplanes,AndOrXor:1899,values,yes
174,cvc4_tplanes,AndOrXor:1900,poison,yes
175,cvc4_tplanes,AndOrXor:1900,undef,yes
176,cvc4_tplanes,AndOrXor:1900,values,yes
177,cvc4_tplanes,AndOrXor:1979,poison,yes
178,cvc4_tplanes,AndOrXor:1979,undef,yes
179,cvc4_tplanes,AndOrXor:1979,values,no
180,cvc4_tplanes,AndOrXor:2008,poison,yes
181,cvc4_tplanes,AndOrXor:2008,undef,yes
182,cvc4_tplanes,AndOrXor:2008,values,no
183,cvc4_tplanes,AndOrXor:2052,poison,yes
184,cvc4_tplanes,AndOrXor:2052,undef,yes
185,cvc4_tplanes,AndOrXor:2052,values,no
186,cvc4_tplanes,AndOrXor:2063,poison,yes
187,cvc4_tplanes,AndOrXor:2063,undef,yes
188,cvc4_tplanes,AndOrXor:2063,values,no
189,cvc4_tplanes,AndOrXor:210,poison,yes
190,cvc4_tplanes,AndOrXor:210,undef,yes
191,cvc4_tplanes,AndOrXor:210,values,no
192,cvc4_tplanes,AndOrXor:2113,poison,yes
193,cvc4_tplanes,AndOrXor:2113,undef,yes
194,cvc4_tplanes,AndOrXor:2113,values,no
195,cvc4_tplanes,AndOrXor:2118,poison,yes
196,cvc4_tplanes,AndOrXor:2118,undef,yes
197,cvc4_tplanes,AndOrXor:2118,values,no
198,cvc4_tplanes,AndOrXor:2123,poison,yes
199,cvc4_tplanes,AndOrXor:2123,undef,yes
200,cvc4_tplanes,AndOrXor:2123,values,no
201,cvc4_tplanes,AndOrXor:2160,poison,yes
202,cvc4_tplanes,AndOrXor:2160,undef,yes
203,cvc4_tplanes,AndOrXor:2160,values,no
204,cvc4_tplanes,AndOrXor:2188,poison,yes
205,cvc4_tplanes,AndOrXor:2188,undef,yes
206,cvc4_tplanes,AndOrXor:2188,values,no
207,cvc4_tplanes,AndOrXor:2231,poison,yes
208,cvc4_tplanes,AndOrXor:2231,undef,yes
209,cvc4_tplanes,AndOrXor:2231,values,no
210,cvc4_tplanes,AndOrXor:2243,poison,yes
211,cvc4_tplanes,AndOrXor:2243,undef,yes
212,cvc4_tplanes,AndOrXor:2243,values,no
213,cvc4_tplanes,AndOrXor:2247,poison,yes
214,cvc4_tplanes,AndOrXor:2247,undef,yes
215,cvc4_tplanes,AndOrXor:2247,values,no
216,cvc4_tplanes,AndOrXor:2263,poison,yes
217,cvc4_tplanes,AndOrXor:2263,undef,yes
218,cvc4_tplanes,AndOrXor:2263,values,no
219,cvc4_tplanes,AndOrXor:2264,poison,yes
220,cvc4_tplanes,AndOrXor:2264,undef,yes
221,cvc4_tplanes,AndOrXor:2264,values,no
222,cvc4_tplanes,AndOrXor:2265,poison,yes
223,cvc4_tplanes,AndOrXor:2265,undef,yes
224,cvc4_tplanes,AndOrXor:2265,values,no
225,cvc4_tplanes,AndOrXor:2284,poison,yes
226,cvc4_tplanes,AndOrXor:2284,undef,yes
227,cvc4_tplanes,AndOrXor:2284,values,no
228,cvc4_tplanes,AndOrXor:2285,poison,yes
229,cvc4_tplanes,AndOrXor:2285,undef,yes
230,cvc4_tplanes,AndOrXor:2285,values,no
231,cvc4_tplanes,AndOrXor:2297,poison,yes
232,cvc4_tplanes,AndOrXor:2297,undef,yes
233,cvc4_tplanes,AndOrXor:2297,values,no
234,cvc4_tplanes,AndOrXor:230,poison,yes
235,cvc4_tplanes,AndOrXor:230,undef,yes
236,cvc4_tplanes,AndOrXor:230,values,no
237,cvc4_tplanes,AndOrXor:2367,poison,yes
238,cvc4_tplanes,AndOrXor:2367,undef,yes
239,cvc4_tplanes,AndOrXor:2367,values,no
240,cvc4_tplanes,AndOrXor:2416,poison,yes
241,cvc4_tplanes,AndOrXor:2416,undef,yes
242,cvc4_tplanes,AndOrXor:2416,values,no
243,cvc4_tplanes,AndOrXor:2417,poison,yes
244,cvc4_tplanes,AndOrXor:2417,undef,yes
245,cvc4_tplanes,AndOrXor:2417,values,no
246,cvc4_tplanes,AndOrXor:2429,poison,yes
247,cvc4_tplanes,AndOrXor:2429,undef,yes
248,cvc4_tplanes,AndOrXor:2429,values,no
249,cvc4_tplanes,AndOrXor:2430,poison,yes
250,cvc4_tplanes,AndOrXor:2430,undef,yes
251,cvc4_tplanes,AndOrXor:2430,values,no
252,cvc4_tplanes,AndOrXor:2443,poison,yes
253,cvc4_tplanes,AndOrXor:2443,undef,yes
254,cvc4_tplanes,AndOrXor:2443,values,no
255,cvc4_tplanes,AndOrXor:2453,poison,yes
256,cvc4_tplanes,AndOrXor:2453,undef,yes
257,cvc4_tplanes,AndOrXor:2453,values,yes
258,cvc4_tplanes,AndOrXor:2475,poison,yes
259,cvc4_tplanes,AndOrXor:2475,undef,yes
260,cvc4_tplanes,AndOrXor:2475,values,no
261,cvc4_tplanes,AndOrXor:2486,poison,yes
262,cvc4_tplanes,AndOrXor:2486,undef,yes
263,cvc4_tplanes,AndOrXor:2486,values,no
264,cvc4_tplanes,AndOrXor:2515,poison,yes
265,cvc4_tplanes,AndOrXor:2515,undef,yes
266,cvc4_tplanes,AndOrXor:2515,values,no
267,cvc4_tplanes,AndOrXor:2581,poison,yes
268,cvc4_tplanes,AndOrXor:2581,undef,yes
269,cvc4_tplanes,AndOrXor:2581,values,no
270,cvc4_tplanes,AndOrXor:2587,poison,yes
271,cvc4_tplanes,AndOrXor:2587,undef,yes
272,cvc4_tplanes,AndOrXor:2587,values,no
273,cvc4_tplanes,AndOrXor:2595,poison,yes
274,cvc4_tplanes,AndOrXor:2595,undef,yes
275,cvc4_tplanes,AndOrXor:2595,values,no
276,cvc4_tplanes,AndOrXor:2607,poison,yes
277,cvc4_tplanes,AndOrXor:2607,undef,yes
278,cvc4_tplanes,AndOrXor:2607,values,no
279,cvc4_tplanes,AndOrXor:2617,poison,yes
280,cvc4_tplanes,AndOrXor:2617,undef,yes
281,cvc4_tplanes,AndOrXor:2617,values,no
282,cvc4_tplanes,AndOrXor:2627,poison,yes
283,cvc4_tplanes,AndOrXor:2627,undef,yes
284,cvc4_tplanes,AndOrXor:2627,values,no
285,cvc4_tplanes,AndOrXor:2647,poison,yes
286,cvc4_tplanes,AndOrXor:2647,undef,yes
287,cvc4_tplanes,AndOrXor:2647,values,no
288,cvc4_tplanes,AndOrXor:2658,poison,yes
289,cvc4_tplanes,AndOrXor:2658,undef,yes
290,cvc4_tplanes,AndOrXor:2658,values,no
291,cvc4_tplanes,AndOrXor:2663,poison,yes
292,cvc4_tplanes,AndOrXor:2663,undef,yes
293,cvc4_tplanes,AndOrXor:2663,values,yes
294,cvc4_tplanes,AndOrXor:270,poison,yes
295,cvc4_tplanes,AndOrXor:270,undef,yes
296,cvc4_tplanes,AndOrXor:270,values,yes
297,cvc4_tplanes,AndOrXor:273,poison,yes
298,cvc4_tplanes,AndOrXor:273,undef,yes
299,cvc4_tplanes,AndOrXor:273,values,no
300,cvc4_tplanes,AndOrXor:280,poison,yes
301,cvc4_tplanes,AndOrXor:280,undef,yes
302,cvc4_tplanes,AndOrXor:280,values,no
303,cvc4_tplanes,AndOrXor:287,poison,yes
304,cvc4_tplanes,AndOrXor:287,undef,yes
305,cvc4_tplanes,AndOrXor:287,values,yes
306,cvc4_tplanes,AndOrXor:290,poison,yes
307,cvc4_tplanes,AndOrXor:290,undef,yes
308,cvc4_tplanes,AndOrXor:290,values,no
309,cvc4_tplanes,AndOrXor:298,poison,yes
310,cvc4_tplanes,AndOrXor:298,undef,yes
311,cvc4_tplanes,AndOrXor:298,values,no
312,cvc4_tplanes,AndOrXor:363,poison,yes
313,cvc4_tplanes,AndOrXor:363,undef,yes
314,cvc4_tplanes,AndOrXor:363,values,no
315,cvc4_tplanes,AndOrXor:364,poison,yes
316,cvc4_tplanes,AndOrXor:364,undef,yes
317,cvc4_tplanes,AndOrXor:364,values,no
318,cvc4_tplanes,AndOrXor:516,poison,yes
319,cvc4_tplanes,AndOrXor:516,undef,yes
320,cvc4_tplanes,AndOrXor:516,values,no
321,cvc4_tplanes,AndOrXor:523,poison,yes
322,cvc4_tplanes,AndOrXor:523,undef,yes
323,cvc4_tplanes,AndOrXor:523,values,no
324,cvc4_tplanes,AndOrXor:530,poison,yes
325,cvc4_tplanes,AndOrXor:530,undef,yes
326,cvc4_tplanes,AndOrXor:530,values,no
327,cvc4_tplanes,AndOrXor:537,poison,yes
328,cvc4_tplanes,AndOrXor:537,undef,yes
329,cvc4_tplanes,AndOrXor:537,values,no
330,cvc4_tplanes,AndOrXor:698,poison,yes
331,cvc4_tplanes,AndOrXor:698,undef,yes
332,cvc4_tplanes,AndOrXor:698,values,no
333,cvc4_tplanes,AndOrXor:709,poison,yes
334,cvc4_tplanes,AndOrXor:709,undef,yes
335,cvc4_tplanes,AndOrXor:709,values,no
336,cvc4_tplanes,AndOrXor:716,poison,yes
337,cvc4_tplanes,AndOrXor:716,undef,yes
338,cvc4_tplanes,AndOrXor:716,values,no
339,cvc4_tplanes,AndOrXor:732-1,poison,yes
340,cvc4_tplanes,AndOrXor:732-1,undef,yes
341,cvc4_tplanes,AndOrXor:732-1,values,no
342,cvc4_tplanes,AndOrXor:732-2,poison,yes
343,cvc4_tplanes,AndOrXor:732-2,undef,yes
344,cvc4_tplanes,AndOrXor:732-2,values,no
345,cvc4_tplanes,AndOrXor:745,poison,yes
346,cvc4_tplanes,AndOrXor:745,undef,yes
347,cvc4_tplanes,AndOrXor:745,values,no
348,cvc4_tplanes,AndOrXor:757,poison,yes
349,cvc4_tplanes,AndOrXor:757,undef,yes
350,cvc4_tplanes,AndOrXor:757,values,no
351,cvc4_tplanes,AndOrXor:794,poison,yes
352,cvc4_tplanes,AndOrXor:794,undef,yes
353,cvc4_tplanes,AndOrXor:794,values,no
354,cvc4_tplanes,AndOrXor:819,poison,yes
355,cvc4_tplanes,AndOrXor:819,undef,yes
356,cvc4_tplanes,AndOrXor:819,values,no
357,cvc4_tplanes,AndOrXor:827,poison,yes
358,cvc4_tplanes,AndOrXor:827,undef,yes
359,cvc4_tplanes,AndOrXor:827,values,yes
360,cvc4_tplanes,AndOrXor:887-1,poison,yes
361,cvc4_tplanes,AndOrXor:887-1,undef,yes
362,cvc4_tplanes,AndOrXor:887-1,values,yes
363,cvc4_tplanes,AndOrXor:887-2,poison,yes
364,cvc4_tplanes,AndOrXor:887-2,undef,yes
365,cvc4_tplanes,AndOrXor:887-2,values,yes
366,cvc4_tplanes,AndOrXor:922,poison,yes
367,cvc4_tplanes,AndOrXor:922,undef,yes
368,cvc4_tplanes,AndOrXor:922,values,yes
369,cvc4_tplanes,AndOrXor:923,poison,yes
370,cvc4_tplanes,AndOrXor:923,undef,yes
371,cvc4_tplanes,AndOrXor:923,values,yes
372,cvc4_tplanes,AndOrXor:924,poison,yes
373,cvc4_tplanes,AndOrXor:924,undef,yes
374,cvc4_tplanes,AndOrXor:924,values,yes
375,cvc4_tplanes,AndOrXor:931,poison,yes
376,cvc4_tplanes,AndOrXor:931,undef,yes
377,cvc4_tplanes,AndOrXor:931,values,yes
378,cvc4_tplanes,AndOrXor:937,poison,yes
379,cvc4_tplanes,AndOrXor:937,undef,yes
380,cvc4_tplanes,AndOrXor:937,values,no
381,cvc4_tplanes,AndOrXor:940,poison,yes
382,cvc4_tplanes,AndOrXor:940,undef,yes
383,cvc4_tplanes,AndOrXor:940,values,yes
384,cvc4_tplanes,AndOrXor:941,poison,yes
385,cvc4_tplanes,AndOrXor:941,undef,yes
386,cvc4_tplanes,AndOrXor:941,values,yes
387,cvc4_tplanes,AndOrXor:942,poison,yes
388,cvc4_tplanes,AndOrXor:942,undef,yes
389,cvc4_tplanes,AndOrXor:942,values,yes
390,cvc4_tplanes,AndOrXor:949,poison,yes
391,cvc4_tplanes,AndOrXor:949,undef,yes
392,cvc4_tplanes,AndOrXor:949,values,yes
393,cvc4_tplanes,AndOrXor:961,poison,yes
394,cvc4_tplanes,AndOrXor:961,undef,yes
395,cvc4_tplanes,AndOrXor:961,values,yes
396,cvc4_tplanes,AndOrXor:962,poison,yes
397,cvc4_tplanes,AndOrXor:962,undef,yes
398,cvc4_tplanes,AndOrXor:962,values,yes
399,cvc4_tplanes,AndOrXor:966,poison,yes
400,cvc4_tplanes,AndOrXor:966,undef,yes
401,cvc4_tplanes,AndOrXor:966,values,yes
402,cvc4_tplanes,AndOrXor:967,poison,yes
403,cvc4_tplanes,AndOrXor:967,undef,yes
404,cvc4_tplanes,AndOrXor:967,values,yes
405,cvc4_tplanes,AndOrXor:978,poison,yes
406,cvc4_tplanes,AndOrXor:978,undef,yes
407,cvc4_tplanes,AndOrXor:978,values,yes
408,cvc4_tplanes,AndOrXor:979,poison,yes
409,cvc4_tplanes,AndOrXor:979,undef,yes
410,cvc4_tplanes,AndOrXor:979,values,yes
411,cvc4_tplanes,AndOrXor:988,poison,yes
412,cvc4_tplanes,AndOrXor:988,undef,yes
413,cvc4_tplanes,AndOrXor:988,values,yes
414,cvc4_tplanes,AndOrXor:989,poison,yes
415,cvc4_tplanes,AndOrXor:989,undef,yes
416,cvc4_tplanes,AndOrXor:989,values,yes
417,cvc4_tplanes,AndOrXor:994,poison,yes
418,cvc4_tplanes,AndOrXor:994,undef,yes
419,cvc4_tplanes,AndOrXor:994,values,yes
420,cvc4_tplanes,InstCombineShift239,poison,yes
421,cvc4_tplanes,InstCombineShift239,undef,yes
422,cvc4_tplanes,InstCombineShift239,values,no
423,cvc4_tplanes,InstCombineShift279,poison,yes
424,cvc4_tplanes,InstCombineShift279,undef,yes
425,cvc4_tplanes,InstCombineShift279,values,no
426,cvc4_tplanes,InstCombineShift440,poison,yes
427,cvc4_tplanes,InstCombineShift440,undef,yes
428,cvc4_tplanes,InstCombineShift440,values,no
429,cvc4_tplanes,InstCombineShift476,poison,yes
430,cvc4_tplanes,InstCombineShift476,undef,yes
431,cvc4_tplanes,InstCombineShift476,values,no
432,cvc4_tplanes,InstCombineShift497a,poison,yes
433,cvc4_tplanes,InstCombineShift497a,undef,yes
434,cvc4_tplanes,InstCombineShift497a,values,no
435,cvc4_tplanes,InstCombineShift497b,poison,yes
436,cvc4_tplanes,InstCombineShift497b,undef,yes
437,cvc4_tplanes,InstCombineShift497b,values,no
438,cvc4_tplanes,InstCombineShift497c,poison,yes
439,cvc4_tplanes,InstCombineShift497c,undef,yes
440,cvc4_tplanes,InstCombineShift497c,values,no
441,cvc4_tplanes,InstCombineShift497d,poison,yes
442,cvc4_tplanes,InstCombineShift497d,undef,yes
443,cvc4_tplanes,InstCombineShift497d,values,no
444,cvc4_tplanes,InstCombineShift582,poison,yes
445,cvc4_tplanes,InstCombineShift582,undef,yes
446,cvc4_tplanes,InstCombineShift582,values,no
447,cvc4_tplanes,Select:1100,poison,yes
448,cvc4_tplanes,Select:1100,undef,yes
449,cvc4_tplanes,Select:1100,values,yes
450,cvc4_tplanes,Select:1105,poison,yes
451,cvc4_tplanes,Select:1105,undef,yes
452,cvc4_tplanes,Select:1105,values,yes
453,cvc4_tplanes,Select:420,poison,yes
454,cvc4_tplanes,Select:420,undef,yes
455,cvc4_tplanes,Select:420,values,no
456,cvc4_tplanes,Select:423,poison,yes
457,cvc4_tplanes,Select:423,undef,yes
458,cvc4_tplanes,Select:423,values,no
459,cvc4_tplanes,Select:427,poison,yes
460,cvc4_tplanes,Select:427,undef,yes
461,cvc4_tplanes,Select:427,values,no
462,cvc4_tplanes,Select:430,poison,yes
463,cvc4_tplanes,Select:430,undef,yes
464,cvc4_tplanes,Select:430,values,no
465,cvc4_tplanes,Select:433,poison,yes
466,cvc4_tplanes,Select:433,undef,yes
467,cvc4_tplanes,Select:433,values,no
468,cvc4_tplanes,Select:510,poison,yes
469,cvc4_tplanes,Select:510,undef,yes
470,cvc4_tplanes,Select:510,values,no
471,cvc4_tplanes,Select:575a,poison,yes
472,cvc4_tplanes,Select:575a,undef,yes
473,cvc4_tplanes,Select:575a,values,no
474,cvc4_tplanes,Select:575b,poison,yes
475,cvc4_tplanes,Select:575b,undef,yes
476,cvc4_tplanes,Select:575b,values,no
477,cvc4_tplanes,Select:576a,poison,yes
478,cvc4_tplanes,Select:576a,undef,yes
479,cvc4_tplanes,Select:576a,values,no
480,cvc4_tplanes,Select:576b,poison,yes
481,cvc4_tplanes,Select:576b,undef,yes
482,cvc4_tplanes,Select:576b,values,no
483,cvc4_tplanes,Select:637,poison,yes
484,cvc4_tplanes,Select:637,undef,yes
485,cvc4_tplanes,Select:637,values,yes
486,cvc4_tplanes,Select:641,poison,yes
487,cvc4_tplanes,Select:641,undef,yes
488,cvc4_tplanes,Select:641,values,yes
489,cvc4_tplanes,Select:699,poison,yes
490,cvc4_tplanes,Select:699,undef,yes
491,cvc4_tplanes,Select:699,values,yes
492,cvc4_tplanes,Select:700,poison,yes
493,cvc4_tplanes,Select:700,undef,yes
494,cvc4_tplanes,Select:700,values,yes
495,cvc4_tplanes,Select:704,poison,yes
496,cvc4_tplanes,Select:704,undef,yes
497,cvc4_tplanes,Select:704,values,no
498,cvc4_tplanes,Select:705,poison,yes
499,cvc4_tplanes,Select:705,undef,yes
500,cvc4_tplanes,Select:705,values,yes
501,cvc4_tplanes,Select:719,poison,yes
502,cvc4_tplanes,Select:719,undef,yes
503,cvc4_tplanes,Select:719,values,yes
504,cvc4_tplanes,Select:720,poison,yes
505,cvc4_tplanes,Select:720,undef,yes
506,cvc4_tplanes,Select:720,values,yes
507,cvc4_tplanes,Select:727,poison,yes
508,cvc4_tplanes,Select:727,undef,yes
509,cvc4_tplanes,Select:727,values,yes
510,cvc4_tplanes,Select:728,poison,yes
511,cvc4_tplanes,Select:728,undef,yes
512,cvc4_tplanes,Select:728,values,yes
513,cvc4_tplanes,Select:740,poison,yes
514,cvc4_tplanes,Select:740,undef,yes
515,cvc4_tplanes,Select:740,values,no
516,cvc4_tplanes,Select:741,poison,yes
517,cvc4_tplanes,Select:741,undef,yes
518,cvc4_tplanes,Select:741,values,no
519,cvc4_tplanes,Select:746,poison,yes
520,cvc4_tplanes,Select:746,undef,yes
521,cvc4_tplanes,Select:746,values,no
522,cvc4_tplanes,Select:747,poison,yes
523,cvc4_tplanes,Select:747,undef,yes
524,cvc4_tplanes,Select:747,values,no
525,cvc4_tplanes,muldivrem:152,poison,yes
526,cvc4_tplanes,muldivrem:152,undef,yes
527,cvc4_tplanes,muldivrem:152,values,yes
528,cvc4_tplanes,muldivrem:229,poison,yes
529,cvc4_tplanes,muldivrem:229,undef,yes
